Year,Geography,Immig.,Dur. of unempl,Age group,Both sexes, Males, Females
2008,Ontario,  Born in Canada,   5 - 13 weeks,25 years and over,49.6,28.6,21.0
2008,Ontario,  Born in Canada,   5 - 13 weeks,25-44 years,29.5,16.6,12.8
2008,Ontario,  Born in Canada,   5 - 13 weeks,45 years and over,20.2,12.0,8.2
2008,Ontario,  Born in Canada,   5 - 13 weeks,25-54 years,43.1,24.8,18.3
2008,Ontario,  Born in Canada,   5 - 13 weeks,55 years and over,6.6,3.8,2.8
2008,Ontario,  Born in Canada,   5 - 13 weeks,55-64 years,6.1,3.6,2.6
2008,Ontario,  Born in Canada,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   5 - 13 weeks,15-29 years,45.7,25.7,20.0
2008,Ontario,  Born in Canada,   5 - 13 weeks,25-64 years,49.2,28.4,20.8
2008,Ontario,  Born in Canada,   14 - 25 weeks,15 years and over,38.7,22.3,16.4
2008,Ontario,  Born in Canada,   14 - 25 weeks,15-24 years ,10.5,6.2,4.3
2008,Ontario,  Born in Canada,   14 - 25 weeks,25 years and over,28.2,16.1,12.1
2008,Ontario,  Born in Canada,   14 - 25 weeks,25-44 years,14.8,8.4,6.4
2008,Ontario,  Born in Canada,   14 - 25 weeks,45 years and over,13.5,7.7,5.7
2008,Ontario,  Born in Canada,   14 - 25 weeks,25-54 years,22.8,13.3,9.5
2008,Ontario,  Born in Canada,   14 - 25 weeks,55 years and over,5.4,2.8,2.6
2008,Ontario,  Born in Canada,   14 - 25 weeks,55-64 years,4.6,2.3,2.3
2008,Ontario,  Born in Canada,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   14 - 25 weeks,15-29 years,13.9,8.1,5.7
2008,Ontario,  Born in Canada,   14 - 25 weeks,25-64 years,27.4,15.6,11.8
2008,Ontario,  Born in Canada,   26 weeks ,15 years and over,2.3,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,25 years and over,1.5,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,25-44 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,45 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,25-54 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,55 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,55-64 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,15-29 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   26 weeks ,25-64 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   27 weeks or more,15 years and over,38.5,23.5,15.0
2008,Ontario,  Born in Canada,   27 weeks or more,15-24 years ,7.0,3.7,3.3
2008,Ontario,  Born in Canada,   27 weeks or more,25 years and over,31.4,19.8,11.6
2008,Ontario,  Born in Canada,   27 weeks or more,25-44 years,14.5,10.0,4.5
2008,Ontario,  Born in Canada,   27 weeks or more,45 years and over,16.9,9.8,7.2
2008,Ontario,  Born in Canada,   27 weeks or more,25-54 years,24.3,15.9,8.4
2008,Ontario,  Born in Canada,   27 weeks or more,55 years and over,7.2,3.9,3.3
2008,Ontario,  Born in Canada,   27 weeks or more,55-64 years,6.5,3.6,2.9
2008,Ontario,  Born in Canada,   27 weeks or more,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   27 weeks or more,15-29 years,11.2,6.9,4.3
2008,Ontario,  Born in Canada,   27 weeks or more,25-64 years,30.8,19.5,11.3
2008,Ontario,  Born in Canada,      27 - 51 weeks,15 years and over,19.1,11.8,7.4
2008,Ontario,  Born in Canada,      27 - 51 weeks,15-24 years ,3.5,2.1,1.5
2008,Ontario,  Born in Canada,      27 - 51 weeks,25 years and over,15.6,9.7,5.9
2008,Ontario,  Born in Canada,      27 - 51 weeks,25-44 years,7.5,5.0,2.6
2008,Ontario,  Born in Canada,      27 - 51 weeks,45 years and over,8.1,4.7,3.3
2008,Ontario,  Born in Canada,      27 - 51 weeks,25-54 years,12.4,8.0,4.4
2008,Ontario,  Born in Canada,      27 - 51 weeks,55 years and over,3.2,1.7,1.5
2008,Ontario,  Born in Canada,      27 - 51 weeks,55-64 years,2.9,1.6,0.0
2008,Ontario,  Born in Canada,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,      27 - 51 weeks,15-29 years,5.8,3.8,1.9
2008,Ontario,  Born in Canada,      27 - 51 weeks,25-64 years,15.3,9.6,5.7
2008,Ontario,  Born in Canada,      52 weeks,15 years and over,9.4,5.3,4.2
2008,Ontario,  Born in Canada,      52 weeks,15-24 years ,2.2,0.0,0.0
2008,Ontario,  Born in Canada,      52 weeks,25 years and over,7.2,4.1,3.1
2008,Ontario,  Born in Canada,      52 weeks,25-44 years,3.6,2.4,0.0
2008,Ontario,  Born in Canada,      52 weeks,45 years and over,3.6,1.7,1.9
2008,Ontario,  Born in Canada,      52 weeks,25-54 years,5.8,3.6,2.1
2008,Ontario,  Born in Canada,      52 weeks,55 years and over,1.5,0.0,0.0
2008,Ontario,  Born in Canada,      52 weeks,55-64 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,      52 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,      52 weeks,15-29 years,3.1,1.7,0.0
2008,Ontario,  Born in Canada,      52 weeks,25-64 years,7.1,4.1,3.0
2008,Ontario,  Born in Canada,      53 weeks or more,15 years and over,9.9,6.5,3.4
2008,Ontario,  Born in Canada,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Born in Canada,      53 weeks or more,25 years and over,8.6,6.0,2.6
2008,Ontario,  Born in Canada,      53 weeks or more,25-44 years,3.3,2.6,0.0
2008,Ontario,  Born in Canada,      53 weeks or more,45 years and over,5.3,3.3,1.9
2008,Ontario,  Born in Canada,      53 weeks or more,25-54 years,6.1,4.3,1.8
2008,Ontario,  Born in Canada,      53 weeks or more,55 years and over,2.5,1.6,0.0
2008,Ontario,  Born in Canada,      53 weeks or more,55-64 years,2.3,1.5,0.0
2008,Ontario,  Born in Canada,      53 weeks or more,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,      53 weeks or more,15-29 years,2.3,0.0,0.0
2008,Ontario,  Born in Canada,      53 weeks or more,25-64 years,8.4,5.8,2.6
2008,Ontario,  Born in Canada,   Duration unknown,15 years and over,12.8,6.3,6.5
2008,Ontario,  Born in Canada,   Duration unknown,15-24 years ,5.8,3.3,2.6
2008,Ontario,  Born in Canada,   Duration unknown,25 years and over,7.0,3.1,3.9
2008,Ontario,  Born in Canada,   Duration unknown,25-44 years,4.0,1.7,2.3
2008,Ontario,  Born in Canada,   Duration unknown,45 years and over,3.0,0.0,1.7
2008,Ontario,  Born in Canada,   Duration unknown,25-54 years,5.4,2.3,3.1
2008,Ontario,  Born in Canada,   Duration unknown,55 years and over,1.6,0.0,0.0
2008,Ontario,  Born in Canada,   Duration unknown,55-64 years,1.6,0.0,0.0
2008,Ontario,  Born in Canada,   Duration unknown,65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,   Duration unknown,15-29 years,7.1,3.7,3.4
2008,Ontario,  Born in Canada,   Duration unknown,25-64 years,7.0,3.1,3.9
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),15 years and over,14.1,15.0,12.9
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),15-24 years ,8.5,8.4,8.6
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),25 years and over,18.1,19.6,16.0
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),25-44 years,15.3,17.2,12.7
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),45 years and over,21.6,22.6,20.2
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),25-54 years,17.0,18.6,14.8
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),55 years and over,23.5,24.6,22.0
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),55-64 years,23.8,24.9,22.4
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),65 years and over,20.4,21.7,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),15-29 years,9.5,9.9,9.1
2008,Ontario,  Born in Canada,Average weeks unemployed (no top-code),25-64 years,18.1,19.6,16.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),45 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25-54 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),55 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),55-64 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),65 years and over,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),15-29 years,0.0,0.0,0.0
2008,Ontario,  Born in Canada,Average weeks unemployed (top-code = 99 weeks),25-64 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,Total unemployed,15 years and over,154.2,78.2,76.0
2008,Ontario,  Total Landed immigrants,Total unemployed,15-24 years ,27.0,14.4,12.6
2008,Ontario,  Total Landed immigrants,Total unemployed,25 years and over,127.2,63.8,63.4
2008,Ontario,  Total Landed immigrants,Total unemployed,25-44 years,67.0,32.0,35.0
2008,Ontario,  Total Landed immigrants,Total unemployed,45 years and over,60.2,31.8,28.4
2008,Ontario,  Total Landed immigrants,Total unemployed,25-54 years,103.1,50.0,53.1
2008,Ontario,  Total Landed immigrants,Total unemployed,55 years and over,24.1,13.8,10.3
2008,Ontario,  Total Landed immigrants,Total unemployed,55-64 years,22.2,12.5,9.7
2008,Ontario,  Total Landed immigrants,Total unemployed,65 years and over,1.9,0.0,0.0
2008,Ontario,  Total Landed immigrants,Total unemployed,15-29 years,41.4,21.6,19.8
2008,Ontario,  Total Landed immigrants,Total unemployed,25-64 years,125.3,62.5,62.8
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,15 years and over,54.8,26.6,28.2
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,15-24 years ,14.8,8.8,6.0
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,25 years and over,39.9,17.7,22.2
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,25-44 years,21.9,9.5,12.4
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,45 years and over,18.0,8.2,9.8
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,25-54 years,33.2,14.3,18.9
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,55 years and over,6.8,3.4,3.4
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,55-64 years,6.1,3.1,3.0
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,15-29 years,19.5,10.7,8.8
2008,Ontario,  Total Landed immigrants,   1 - 4 weeks,25-64 years,39.3,17.4,21.9
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,15 years and over,43.0,22.0,20.9
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,15-24 years ,7.1,3.6,3.5
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,25 years and over,35.9,18.5,17.4
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,25-44 years,20.2,9.9,10.3
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,45 years and over,15.7,8.6,7.1
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,25-54 years,29.6,14.9,14.7
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,55 years and over,6.3,3.6,2.7
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,55-64 years,5.7,3.1,2.6
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,15-29 years,11.0,5.6,5.4
2008,Ontario,  Total Landed immigrants,   5 - 13 weeks,25-64 years,35.2,17.9,17.3
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,15 years and over,25.7,12.8,12.8
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,15-24 years ,2.7,0.0,1.7
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,25 years and over,23.0,11.9,11.1
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,25-44 years,11.9,5.5,6.4
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,45 years and over,11.1,6.4,4.7
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,25-54 years,18.2,9.1,9.2
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,55 years and over,4.8,2.8,1.9
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,55-64 years,4.6,2.6,1.9
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,15-29 years,5.5,2.5,3.0
2008,Ontario,  Total Landed immigrants,   14 - 25 weeks,25-64 years,22.8,11.7,11.1
2008,Ontario,  Total Landed immigrants,   26 weeks ,15 years and over,2.1,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,25 years and over,1.8,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,25-44 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,45 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,25-54 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,55 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,55-64 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,15-29 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   26 weeks ,25-64 years,1.7,0.0,0.0
2008,Ontario,  Total Landed immigrants,   27 weeks or more,15 years and over,24.8,14.4,10.4
2008,Ontario,  Total Landed immigrants,   27 weeks or more,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   27 weeks or more,25 years and over,23.5,13.6,9.9
2008,Ontario,  Total Landed immigrants,   27 weeks or more,25-44 years,10.3,6.3,4.0
2008,Ontario,  Total Landed immigrants,   27 weeks or more,45 years and over,13.2,7.4,5.8
2008,Ontario,  Total Landed immigrants,   27 weeks or more,25-54 years,18.1,10.1,7.9
2008,Ontario,  Total Landed immigrants,   27 weeks or more,55 years and over,5.4,3.5,1.9
2008,Ontario,  Total Landed immigrants,   27 weeks or more,55-64 years,5.1,3.3,1.8
2008,Ontario,  Total Landed immigrants,   27 weeks or more,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   27 weeks or more,15-29 years,3.8,2.5,0.0
2008,Ontario,  Total Landed immigrants,   27 weeks or more,25-64 years,23.2,13.4,9.8
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,15 years and over,11.9,6.5,5.4
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,25 years and over,10.9,6.0,4.9
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,25-44 years,4.6,2.6,2.1
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,45 years and over,6.3,3.4,2.9
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,25-54 years,9.0,4.8,4.1
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,55 years and over,1.9,0.0,0.0
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,55-64 years,1.9,0.0,0.0
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,15-29 years,1.6,0.0,0.0
2008,Ontario,  Total Landed immigrants,      27 - 51 weeks,25-64 years,10.8,6.0,4.9
2008,Ontario,  Total Landed immigrants,      52 weeks,15 years and over,5.5,3.2,2.3
2008,Ontario,  Total Landed immigrants,      52 weeks,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,25 years and over,5.1,3.0,2.2
2008,Ontario,  Total Landed immigrants,      52 weeks,25-44 years,2.7,1.6,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,45 years and over,2.4,0.0,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,25-54 years,3.9,2.3,1.6
2008,Ontario,  Total Landed immigrants,      52 weeks,55 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,55-64 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,15-29 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      52 weeks,25-64 years,5.1,2.9,2.2
2008,Ontario,  Total Landed immigrants,      53 weeks or more,15 years and over,7.4,4.7,2.7
2008,Ontario,  Total Landed immigrants,      53 weeks or more,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      53 weeks or more,25 years and over,7.4,4.7,2.7
2008,Ontario,  Total Landed immigrants,      53 weeks or more,25-44 years,2.9,2.1,0.0
2008,Ontario,  Total Landed immigrants,      53 weeks or more,45 years and over,4.5,2.6,1.9
2008,Ontario,  Total Landed immigrants,      53 weeks or more,25-54 years,5.2,3.0,2.2
2008,Ontario,  Total Landed immigrants,      53 weeks or more,55 years and over,2.2,1.7,0.0
2008,Ontario,  Total Landed immigrants,      53 weeks or more,55-64 years,2.1,1.6,0.0
2008,Ontario,  Total Landed immigrants,      53 weeks or more,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      53 weeks or more,15-29 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,      53 weeks or more,25-64 years,7.2,4.5,2.7
2008,Ontario,  Total Landed immigrants,   Duration unknown,15 years and over,3.9,0.0,2.6
2008,Ontario,  Total Landed immigrants,   Duration unknown,15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,25 years and over,3.1,0.0,2.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,25-44 years,1.7,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,45 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,25-54 years,2.7,0.0,1.8
2008,Ontario,  Total Landed immigrants,   Duration unknown,55 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,55-64 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,65 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,15-29 years,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,   Duration unknown,25-64 years,3.1,0.0,2.0
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),15 years and over,16.4,17.8,14.9
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),15-24 years ,7.9,7.1,8.8
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),25 years and over,18.2,20.3,16.1
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),25-44 years,16.2,19.1,13.7
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),45 years and over,20.3,21.5,19.1
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),25-54 years,17.2,18.8,15.7
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),55 years and over,22.4,25.5,18.2
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),55-64 years,22.7,25.8,18.5
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),65 years and over,18.9,0.0,0.0
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),15-29 years,11.3,12.4,10.0
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (no top-code),25-64 years,18.2,20.2,16.1
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),15-24 years ,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25 years and over,0.0,0.0,0.0
2008,Ontario,  Total Landed immigrants,Average weeks unemployed (top-code = 99 weeks),25-44 years,0.0,0.0,0.0
